,Tokens,Occurences
291,henc,"[('T3.txt', 1), ('T4.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
292,student,"[('T1.txt', 4), ('T8.txt', 1)]"
293,theoret,"[('T9.txt', 1), ('T10.txt', 2)]"
294,undulatori,"[('T6.txt', 1)]"
295,wait,"[('T6.txt', 1), ('T8.txt', 1)]"
296,mr,"[('T1.txt', 1), ('T3.txt', 1), ('T7.txt', 1), ('T9.txt', 2)]"
297,_men,"[('T1.txt', 2)]"
298,rich,"[('T1.txt', 1), ('T5.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T8.txt', 1)]"
299,record,"[('T5.txt', 3), ('T7.txt', 6), ('T8.txt', 2)]"
300,elus,"[('T1.txt', 1)]"
301,78,"[('T5.txt', 1)]"
302,neglig,"[('T10.txt', 1)]"
303,natur,"[('T1.txt', 19), ('T2.txt', 4), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 20), ('T7.txt', 15), ('T8.txt', 3), ('T9.txt', 18), ('T10.txt', 9)]"
304,_to,"[('T1.txt', 2)]"
305,statement,"[('T1.txt', 1), ('T2.txt', 1), ('T6.txt', 3), ('T8.txt', 1), ('T9.txt', 2), ('T10.txt', 1)]"
306,maker,"[('T1.txt', 1)]"
307,40,"[('T1.txt', 4), ('T5.txt', 2), ('T9.txt', 1)]"
308,canyon,"[('T1.txt', 1), ('T6.txt', 1)]"
309,alpin,"[('T7.txt', 1)]"
310,comput,"[('T10.txt', 4)]"
311,trend,"[('T7.txt', 2)]"
312,behind,"[('T1.txt', 3), ('T4.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 3), ('T10.txt', 1)]"
313,debas,"[('T7.txt', 1)]"
314,parallel,"[('T5.txt', 2), ('T9.txt', 1)]"
315,hilger,"[('T1.txt', 1), ('T5.txt', 1)]"
316,partial,"[('T1.txt', 3), ('T5.txt', 1), ('T7.txt', 1), ('T8.txt', 1)]"
317,age_,"[('T1.txt', 2)]"
318,_next_,"[('T9.txt', 1)]"
319,resist,"[('T2.txt', 1), ('T6.txt', 1), ('T9.txt', 1)]"
